,City,Temp (F),Humidity,Cloudiness,Wind Speed (MPH),Latitude,Longitude
474,Ankang,50.85,48,50,2.55,32.68,109.02
475,Oodweyne,63.81,29,83,14.88,9.41,45.06
476,Hay River,3.2,84,100,5.82,60.82,-115.8
477,Copperas Cove,62.22,63,20,12.75,31.12,-97.9
478,Padang,84.97,60,100,5.73,-0.95,100.35
479,Monchegorsk,26.87,97,73,4.45,67.94,32.87
480,Goderich,37.4,86,91,9.17,43.75,-81.72
481,Nago,76.37,74,75,13.87,26.59,127.98
482,Bragança Paulista,67.87,88,75,9.17,-22.94,-46.56
483,Santa Helena de Goiás,70.7,81,100,9.91,-17.81,-50.6
484,Shingū,62.6,45,40,3.36,33.73,135.98
485,Hervey Bay,77.0,65,96,8.99,-25.3,152.85
486,Agirish,17.8,87,0,11.7,61.92,63.02
487,Sørland,40.96,77,28,11.63,67.67,12.69
488,Port Hedland,77.0,100,40,24.16,-20.32,118.57
489,Pingzhuang,15.91,87,9,1.5,42.04,119.29
490,Ano Mera,55.35,67,63,11.41,37.45,25.4
491,Santa Cruz de la Sierra,75.2,78,1,6.93,-17.8,-63.17
492,Kibaya,60.66,98,93,4.12,-5.3,36.57
493,Atchison,43.59,73,100,7.31,39.56,-95.12
494,Tuatapere,48.0,87,100,11.99,-46.13,167.68
495,Progreso,66.2,82,75,8.05,21.28,-89.67
496,Bilibino,-2.47,87,90,3.62,68.05,166.44
497,Mehamn,33.49,91,55,10.92,71.04,27.85
498,Sur,74.37,55,0,17.96,22.57,59.53
499,Bara,70.75,26,91,4.88,10.37,10.73
500,Mankono,73.49,82,35,3.94,8.06,-6.19
501,Ostrovnoy,29.59,96,98,14.41,68.05,39.51
502,Mahibadhoo,82.36,70,35,4.5,3.78,72.97
503,Barranco,72.5,87,33,4.21,9.52,-82.7
504,Saint-Augustin,32.07,98,100,7.27,51.23,-58.65
505,Tolaga Bay,77.65,39,100,11.39,-38.37,178.3
506,Kalamazoo,40.66,69,1,4.7,42.25,-85.55
507,Auki,85.06,68,44,6.93,-8.77,160.7
508,Norrtälje,37.69,86,96,15.99,59.76,18.7
509,Wuda,29.97,81,41,17.0,39.5,106.71
510,Stepnyak,8.4,89,0,4.92,52.83,70.78
511,Oddur,70.52,75,0,19.57,4.12,43.89
512,Port-Cartier,27.01,74,27,6.93,50.03,-66.87
513,Monrovia,77.0,94,75,5.5,6.3,-10.8
514,Greensburg,33.49,100,1,4.12,40.3,-79.54
515,Saint-François,41.0,86,0,5.82,46.42,3.91
516,Marzuq,56.34,35,2,2.04,14.4,46.47
517,Grand Forks,30.15,92,90,9.17,47.94,-97.43
518,Hokitika,54.61,63,88,20.94,-42.72,170.97
519,Vahan,21.42,97,75,0.85,40.58,45.4
520,Neyshabur,34.39,83,98,1.88,36.21,58.8
521,Viranşehir,42.67,64,0,4.68,37.24,39.76
522,Kahului,76.51,51,40,8.05,20.89,-156.47
523,Jinka,61.88,57,85,2.68,5.65,36.65
524,Licata,48.31,93,100,4.7,37.11,13.95
525,Rizhao,47.95,53,32,4.03,35.43,119.46
526,Boguchany,-8.09,88,99,4.59,58.38,97.45
527,Muros,59.31,95,100,3.0,42.78,-9.06
528,Price,24.8,45,1,6.93,39.6,-110.81
529,Tripoli,57.74,45,98,21.32,32.88,13.19
530,Marsá Maţrūḩ,60.69,59,0,8.39,31.35,27.25
531,Richards Bay,72.86,90,0,10.76,-28.78,32.04
532,Ilo,64.74,79,33,3.98,-17.64,-71.34
533,Petropavlovsk-Kamchatskiy,26.6,45,43,2.24,53.05,158.65
534,Harper,78.37,85,94,8.32,4.38,-7.72
535,Ibrā’,66.07,56,21,8.9,22.69,58.53
536,Aripuanã,69.84,98,99,1.23,-9.17,-60.63
537,Elizabeth City,39.99,93,1,3.67,36.29,-76.25
538,Toro,66.02,88,78,1.3,4.61,-76.08
539,Bilma,67.57,28,0,10.09,18.69,12.92
540,Sorong,84.67,72,5,8.75,-0.88,131.25
541,Havre-St-Pierre,24.8,92,90,2.24,50.23,-63.6
542,Biabou,78.8,78,40,12.75,13.2,-61.13
543,Meybod,35.6,93,20,2.24,32.25,54.02
544,Conakry,81.5,81,31,7.02,9.54,-13.68
545,Iquique,66.2,68,0,4.7,-20.22,-70.14
546,Sabha,46.78,56,100,2.46,27.04,14.43
547,Gijang,53.6,45,0,6.93,35.24,129.21
548,Andros Town,60.8,87,75,2.24,24.7,-77.77
549,Williston,18.86,92,1,1.36,48.15,-103.62
550,Al Bardīyah,56.61,72,0,10.0,31.76,25.09
551,Beatrice,40.14,65,1,12.75,40.27,-96.75
552,Bima,87.78,65,61,9.04,-8.47,118.72
553,Nettuno,46.0,88,100,4.0,41.48,12.68
554,Soe,85.75,59,49,2.57,-9.86,124.28
555,Aklavik,-4.0,76,100,8.05,68.22,-135.01
556,Sisa,72.12,87,71,3.42,-6.62,-76.69
557,Hirara,77.0,88,75,10.29,24.8,125.28
558,Dera Bugti,57.42,78,100,5.53,29.03,69.15
559,Talaya,-19.1,85,64,1.01,61.38,152.75
560,Saint-Pierre,75.15,54,0,23.04,-21.34,55.48
561,Sosnogorsk,14.9,94,0,6.89,63.6,53.88
562,Baker City,30.13,95,1,10.29,44.77,-117.83
563,Phanom Sarakham,87.3,100,60,6.6,13.75,101.36
564,Almaznyy,23.0,79,0,17.9,48.04,40.05
